Order Date,Product Name,Sales
2020-05-23,Smart Bulb,2058
2021-07-26,Robot Vacuum,980
2021-12-15,Laptop Stand,1508
2022-05-31,Wireless Charger,3866
2024-02-05,Bluetooth Speaker,2295
2024-02-05,Smart Watch,4284
2024-04-12,Flower Vase,900
2023-06-03,Air Purifier,3699
2021-05-06,LED TV,1987
2024-05-15,Table Fan,4864
2021-09-03,LED TV,2360
2022-11-02,Cool Drink,2652
2022-10-18,Air Purifier,189
2024-03-01,Decorative Light,962
2023-03-25,Noise Cancelling Headphones,3814
2024-08-25,Flower Vase,1011
2021-01-19,Noise Cancelling Headphones,807
2021-12-11,Decorative Light,726
2022-04-25,Flower Vase,3041
2021-05-30,Noise Cancelling Headphones,3514
2021-02-19,Decorative Light,4489
2025-01-05,Robot Vacuum,3112
2021-05-06,Electric Toothbrush,4654
2020-10-08,Noise Cancelling Headphones,2332
2021-05-02,Noise Cancelling Headphones,622
2024-08-17,Yoga Mat,4062
2022-01-18,Table Fan,4725
2025-03-03,Smart Watch,3297
2023-09-27,Smart Watch,547
2020-10-11,Smart Watch,3652
2025-02-07,Robot Vacuum,1543
2021-07-28,Decorative Light,2587
2021-03-05,Yoga Mat,4697
2025-03-20,Air Purifier,2616
2022-10-09,Cool Drink,3635
2025-01-26,LED TV,4999
2024-12-09,Wireless Charger,2286
2023-04-06,Wireless Charger,1208
2022-03-14,Yoga Mat,2015
2024-12-13,Laptop Stand,3555
2020-06-19,Table Fan,1694
2023-03-25,Smart Bulb,3797
2023-06-21,Wireless Charger,3536
2020-04-28,Wireless Charger,3303
2023-01-20,Noise Cancelling Headphones,1436
2024-10-05,Noise Cancelling Headphones,4444
2022-01-02,Smart Watch,1548
2024-09-22,Air Purifier,4248
2024-12-15,Smart Bulb,2487
2024-05-21,Espresso Machine,3819
2022-02-01,Cool Drink,4515
2023-09-10,Electric Toothbrush,2212
2023-07-12,Espresso Machine,4226
2021-10-15,Electric Toothbrush,4871
2021-02-01,Electric Toothbrush,415
2023-01-09,Decorative Light,4913
2024-12-31,Electric Toothbrush,1732
2023-04-19,Espresso Machine,1418
2021-11-23,LED TV,4025
2020-09-07,Laptop Stand,1230
2023-03-05,Smart Watch,2529
2023-08-21,Laptop Stand,494
2020-12-16,Robot Vacuum,1677
2025-01-01,Decorative Light,1329
2022-03-22,Smart Watch,4189
2024-06-22,Yoga Mat,3419
2024-12-10,Laptop Stand,1929
2021-11-20,Laptop Stand,2937
2023-12-31,Decorative Light,4617
2024-01-06,LED TV,3660
2023-11-15,Espresso Machine,1712
2022-04-24,Yoga Mat,3146
2025-04-14,Smart Bulb,125
2020-08-29,Espresso Machine,4921
2021-10-07,Decorative Light,1686
2021-06-18,Decorative Light,2479
2024-08-12,Wireless Charger,3634
2023-05-06,Cool Drink,1246
2022-06-03,Decorative Light,4404
2021-10-24,Wireless Charger,1198
2025-04-15,Yoga Mat,4835
2023-04-15,Room Heater,2529
2023-04-19,Room Heater,4782
2022-06-05,Table Fan,1389
2020-05-14,Flower Vase,1796
2023-06-02,LED TV,4476
2022-03-03,Cool Drink,3777
2023-07-20,Table Fan,4753
2023-03-30,Bluetooth Speaker,4312
2024-08-21,Room Heater,1794
2022-11-05,Room Heater,3039
2020-08-13,Table Fan,351
2023-08-27,Smart Watch,2772
2020-12-11,Robot Vacuum,1659
2024-01-29,Smart Watch,3110
2023-07-15,Smart Watch,2982
2023-02-26,Table Fan,2845
2020-11-01,Yoga Mat,2341
2024-03-23,Wireless Charger,801
2022-08-23,Laptop Stand,3310
2021-09-24,Flower Vase,2637
2020-10-09,Noise Cancelling Headphones,1604
2020-10-07,Noise Cancelling Headphones,1659
2020-10-28,Cool Drink,1804
2022-03-20,Flower Vase,2151
2023-10-31,Smart Bulb,2265
2023-08-01,LED TV,2873
2022-11-25,Smart Watch,3028
2021-07-01,Laptop Stand,3149
2021-01-06,Room Heater,2533
2020-07-01,Yoga Mat,3232
2021-06-20,Table Fan,231
2021-03-29,Room Heater,3436
